Date (seven days ago),Aerosol,Date (six days ago),Aerosol,Date (five days ago),Aerosol,Date (four days ago),Aerosol,Date (three days ago),Aerosol,Date (two days ago),Aerosol,Date (one days ago),Aerosol,Date (daily),The number of CIP in Tehran,Aerosol
2/13/2020,0.2,2/14/2020,0.3,2/15/2020,0.2,2/16/2020,0.2,2/17/2020,0.3,2/18/2020,0.3,2/19/2020,0.6,2/20/2020,0,0.6
2/14/2020,0.3,2/15/2020,0.2,2/16/2020,0.2,2/17/2020,0.3,2/18/2020,0.3,2/19/2020,0.6,2/20/2020,0.6,2/21/2020,0.2,0.3
2/15/2020,0.2,2/16/2020,0.2,2/17/2020,0.3,2/18/2020,0.3,2/19/2020,0.6,2/20/2020,0.6,3/21/2020,0.3,2/22/2020,0.2,0.6
2/16/2020,0.2,2/17/2020,0.3,2/18/2020,0.3,2/19/2020,0.6,2/20/2020,0.6,3/21/2020,0.3,3/22/2020,0.6,2/23/2020,0.2,0.7
2/17/2020,0.3,2/18/2020,0.3,2/19/2020,0.6,2/20/2020,0.6,3/21/2020,0.3,3/22/2020,0.6,3/23/2020,0.7,2/24/2020,0.2,0.7
2/18/2020,0.3,2/19/2020,0.6,2/20/2020,0.6,3/21/2020,0.3,3/22/2020,0.6,3/23/2020,0.7,3/24/2020,0.7,2/25/2020,0.2,0.7
2/19/2020,0.6,2/20/2020,0.6,3/21/2020,0.3,3/22/2020,0.6,3/23/2020,0.7,3/24/2020,0.7,3/25/2020,0.7,2/26/2020,0.2,0.4
2/20/2020,0.6,3/21/2020,0.3,3/22/2020,0.6,3/23/2020,0.7,3/24/2020,0.7,3/25/2020,0.7,3/26/2020,0.4,2/27/2020,0.3,0.2
3/21/2020,0.3,3/22/2020,0.6,3/23/2020,0.7,3/24/2020,0.7,3/25/2020,0.7,3/26/2020,0.4,3/27/2020,0.2,2/28/2020,0.3,0.3
3/22/2020,0.6,3/23/2020,0.7,3/24/2020,0.7,3/25/2020,0.7,3/26/2020,0.4,3/27/2020,0.2,3/28/2020,0.3,2/29/2020,0.3,0.8
3/23/2020,0.7,3/24/2020,0.7,3/25/2020,0.7,3/26/2020,0.4,3/27/2020,0.2,3/28/2020,0.3,3/29/2020,0.8,3/1/2020,0.6,0.8
3/24/2020,0.7,3/25/2020,0.7,3/26/2020,0.4,3/27/2020,0.2,3/28/2020,0.3,3/29/2020,0.8,3/1/2020,0.8,3/2/2020,0,0.7
3/25/2020,0.7,3/26/2020,0.4,3/27/2020,0.2,3/28/2020,0.3,3/29/2020,0.8,3/1/2020,0.8,3/2/2020,0.7,3/3/2020,0,0.3
3/26/2020,0.4,3/27/2020,0.2,3/28/2020,0.3,3/29/2020,0.8,3/1/2020,0.8,3/2/2020,0.7,3/3/2020,0.3,3/4/2020,0.7,0.3
3/27/2020,0.2,3/28/2020,0.3,3/29/2020,0.8,3/1/2020,0.8,3/2/2020,0.7,3/3/2020,0.3,3/4/2020,0.3,3/5/2020,0.3,0.3
3/28/2020,0.3,3/29/2020,0.8,3/1/2020,0.8,3/2/2020,0.7,3/3/2020,0.3,3/4/2020,0.3,3/5/2020,0.3,3/6/2020,0.3,0.6
3/29/2020,0.8,3/1/2020,0.8,3/2/2020,0.7,3/3/2020,0.3,3/4/2020,0.3,3/5/2020,0.3,3/6/2020,0.6,3/7/2020,0.5,0.7
3/1/2020,0.8,3/2/2020,0.7,3/3/2020,0.3,3/4/2020,0.3,3/5/2020,0.3,3/6/2020,0.6,3/7/2020,0.7,3/8/2020,0.7,0.5
3/2/2020,0.7,3/3/2020,0.3,3/4/2020,0.3,3/5/2020,0.3,3/6/2020,0.6,3/7/2020,0.7,3/8/2020,0.5,3/9/2020,0.6,0.4
3/3/2020,0.3,3/4/2020,0.3,3/5/2020,0.3,3/6/2020,0.6,3/7/2020,0.7,3/8/2020,0.5,3/9/2020,0.4,3/10/2020,0.6,0.5
3/4/2020,0.3,3/5/2020,0.3,3/6/2020,0.6,3/7/2020,0.7,3/8/2020,0.5,3/9/2020,0.4,3/10/2020,0.5,3/11/2020,0.7,0.7
3/5/2020,0.3,3/6/2020,0.6,3/7/2020,0.7,3/8/2020,0.5,3/9/2020,0.4,3/10/2020,0.5,3/11/2020,0.7,3/12/2020,0.8,0.7
3/6/2020,0.6,3/7/2020,0.7,3/8/2020,0.5,3/9/2020,0.4,3/10/2020,0.5,3/11/2020,0.7,3/12/2020,0.7,3/13/2020,0.8,0.7
3/7/2020,0.7,3/8/2020,0.5,3/9/2020,0.4,3/10/2020,0.5,3/11/2020,0.7,3/12/2020,0.7,3/13/2020,0.7,3/14/2020,0.8,0.7
3/8/2020,0.5,3/9/2020,0.4,3/10/2020,0.5,3/11/2020,0.7,3/12/2020,0.7,3/13/2020,0.7,3/14/2020,0.7,3/15/2020,0.7,0.4
3/9/2020,0.4,3/10/2020,0.5,3/11/2020,0.7,3/12/2020,0.7,3/13/2020,0.7,3/14/2020,0.7,3/15/2020,0.4,3/16/2020,0.6,0.5
3/10/2020,0.5,3/11/2020,0.7,3/12/2020,0.7,3/13/2020,0.7,3/14/2020,0.7,3/15/2020,0.4,3/16/2020,0.5,3/17/2020,0.7,0.7
3/11/2020,0.7,3/12/2020,0.7,3/13/2020,0.7,3/14/2020,0.7,3/15/2020,0.4,3/16/2020,0.5,3/17/2020,0.7,3/18/2020,0.7,0.6
3/12/2020,0.7,3/13/2020,0.7,3/14/2020,0.7,3/15/2020,0.4,3/16/2020,0.5,3/17/2020,0.7,3/18/2020,0.6,3/19/2020,0.5,0.5
,0.1,,0.27,,0.14,,0.04,,0.5,,0.95,,0.75,,,0.4
